"cod_rgint";"homem_60_69_2000";"mulher_60_69_2000";"homem_70_79_2000";"mulher_70_79_2000";"homem_80_mais_2000";"mulher_80_mais_2000";"homem_60_69_2010";"mulher_60_69_2010";"homem_70_79_2010";"mulher_70_79_2010";"homem_80_mais_2010";"mulher_80_mais_2010";"homem_60_69_2022";"mulher_60_69_2022";"homem_70_79_2022";"mulher_70_79_2022";"homem_80_mais_2022";"mulher_80_mais_2022"
2303;10981;12460;7563;7727;3192;3198;14480;15729;8842;10251;4812;5370;17627;19521;11318;13247;6174;7852
2304;21002;25854;12689;15835;5807;7432;26935;32142;16555;21315;8129;11403;34601;41812;22144;28035;12000;16988
2305;9005;9954;6219;6385;2798;3006;11275;12269;7229;8249;4322;4767;14875;16525;9903;11026;5624;6900
2306;25567;29510;16986;18086;7766;8593;34005;37613;20265;24410;11020;13196;45662;49125;28776;32524;13971;18683
2401;32368;40957;21375;25745;10299;12939;48686;60452;25690;34875;13881;20633;74459;89633;39864;53567;18244;30848
2402;6176;7575;4875;5548;2479;2903;8478;9979;5000;6380;3213;4269;11741;13458;7120;8651;3691;5478
2403;17750;20538;12781;13734;6016;6536;24294;27873;13917;16814;8199;10257;34502;40156;19165;23572;9948;13794
2501;33509;44103;21246;27249;10021;13539;45704;58211;25335;36044;12699;20236;67777;83893;36876;50596;16208;28666
2502;23636;30573;17231;20685;8743;10870;30867;37853;18330;24747;10944;15795;41844;49336;24870;32612;12700;20304
2503;13404;16254;9323;10436;4759;5280;17606;21170;10425;13154;5985;7411;23157;26908;14058;17783;7278;10164
2504;6923;8292;4705;5070;2340;2375;8893;10805;5555;6830;3108;3679;11312;13177;7256;9213;4036;5304
2601;97296;129560;54164;73214;20567;33001;132822;176215;67737;101044;29429;52003;198550;262057;99190;147081;38853;75289
2602;45304;55773;30037;33943;13238;16118;56724;67880;33315;42499;16981;22004;74458;88841;44294;55679;20743;30255
2603;10467;12820;7271;8099;3497;3896;13910;16477;7998;10143;4470;5528;17812;20605;11083;13853;5710;7749
2604;13914;16242;8086;9269;4094;5016;20701;23570;10657;13334;5417;7085;29003;33614;17066;20611;8238;11525
2701;30593;37602;16288;19947;7293;9798;43479;52102;20940;28047;8889;13865;67552;83571;32507;42952;11905;20512
2702;20344;24238;11508;13137;6075;7059;28825;32168;14862;18085;6809;8692;36362;42687;22364;26396;9496;12917
2801;19943;25669;10704;14723;5221;7426;30823;37521;14695;20886;6547;11312;51051;63129;25113;34070;9858;18078
2802;11251;13317;7028;7834;3858;4197;16562;18023;8697;10575;4570;5746;23244;25665;13679;15870;6211;8641
2901;58320;80019;28917;44972;11539;22766;90587;117396;41505;65418;17195;35880;149930;194957;71293;102808;26935;55520
2902;18818;23005;11453;13633;5556;7900;22972;26736;13427;17686;6929;10463;36887;41429;19039;23198;8733;14473
2903;35158;34390;18985;17679;7990;8978;42302;43481;24296;25709;11139;13025;65139;68909;34487;37278;15362;20451
2904;43294;46798;25271;26060;12071;14865;50789;55970;30909;34798;15862;20123;73991;78844;42840;48966;22392;30054
2905;15298;16509;8782;9497;4291;5703;20250;20798;12000;13535;5876;7631;27562;28588;17721;18828;9217;11920
2906;10338;10827;5612;5712;2530;2993;14469;14184;7957;8727;3785;4271;22672;22133;12721;13219;6034;7099
2907;12164;13251;7029;7446;3397;3961;17084;17262;9488;10673;4404;5428;23201;23679;14198;15071;6654;8495
2908;14410;16000;8397;9866;4411;5300;20792;21701;10706;12832;5409;7361;28635;29988;17330;19306;7962;10947
2909;17361;18945;10871;11422;5922;6530;24320;25594;13140;14909;7324;8595;28880;31120;19647;21531;9874;12567
2910;42885;51814;27065;31663;13408;17854;60381;69912;32500;41610;17112;24589;82192;95017;49564;61576;23875;36341
3101;103189;130605;47794;72163;16467;32582;153379;189894;76587;109440;28376;56714;257385;317760;128313;175748;54422;98232
3102;31557;34499;15606;17842;6390;8687;44076;46386;23495;27693;9554;13597;65738;70303;37138;42491;16664;22879
3103;30022;33611;15642;17874;6731;9744;35748;39728;22138;26382;9296;13897;49563;53139;28929;34117;15166;22278
3104;19887;23142;10739;12191;4288;5679;23347;27230;14459;18096;6109;8671;34111;38247;19231;23685;9606;14273
3105;21547;23881;11258;12596;3712;5193;27857;31696;16498;19704;6711;9311;47875;53006;24191;28884;11454;16251
3106;57624;65005;32665;40191;11596;17765;73270;83144;42334;52743;18404;28882;114043;128111;61230;74196;27287;42292
3107;17136;20276;8763;11824;3077;4720;23477;26862;12140;16197;4554;7982;38813;43212;19513;23737;7664;12755
3108;38563;40664;20911;24397;7220;10272;52621;54236;28484;32889;11533;16734;83755;88302;44210;48891;17733;24950
3109;30789;32593;17204;19039;5970;7644;42705;44306;23390;26448;9507;12796;67437;72424;37020;40639;14748;20438
3110;16130;17697;8101;9532;3029;4085;22107;24113;11874;14289;4633;6593;35608;39375;18044;21573;7179;10820
3111;22927;24716;11350;13159;4096;5426;32457;35492;17311;20731;6935;9711;50649;59042;26884;32464;11424;16894
3112;16212;16697;7729;8454;2682;3520;22920;22991;12077;13409;4526;6082;37357;37965;18819;20442;7751;10528
3113;27104;29555;13522;16623;4659;6950;36827;40306;20341;24198;7556;11378;62171;67819;32066;37308;13717;19558
3201;33411;39970;16667;21715;5363;9131;49907;59033;24936;33864;9778;16921;93852;111428;43823;57347;17098;30277
3202;9454;9967;5191;5117;1906;2379;13356;14140;7140;8241;3162;4018;24104;26251;11736;13037;4942;6925
3203;10359;11178;5640;5888;2111;2670;12540;13794;7668;8790;3327;4281;21377;22850;10617;12429;5085;7144
3204;13908;14912;7826;8671;2903;3859;17759;18978;10392;11923;4562;6235;30145;32196;15307;17009;6777;9642
