REGIAO;IMM2019;IMM2018;IMM2017;IMM2016;IMM2015;IMM2014;IMM2013;IMM2012;IMM2011;IMM2010;IMM2009;IMM2008;IMM2007;IMM2006;TUEF2021;TUEF2020;TUEF2019;TUEF2018;TUEF2017;TUEF2016;TUEF2015;TUEF2014;TUEF2013;TUEF2012;TUEF2011;TUEF2010;TUEB2021;TUEB2020;TUEB2019;TUEB2018;TUEB2017;TUEB2016;TUEB2015;TUEB2014;TUEB2013;TUEB2012;TUEB2011;TUEB2010;POPRUA2021;POPRUA2019;POPRUA2015;POPRUA2011;POPRUA2009;POPRUA2000;BF2020;BF2019;BF2018;BF2017;BF2016;BF2015;BF2014;BF2013;FV2021;FV2020;FV2019;FV2018;FV2017;FV2016;FV2015;FV2014;FV2013;FV2012;FV2011;FV2010;AGUA2010;AGUA2000;ESGOTO2010;ESGOTO2000;EXTPOB2020;EXTPOB2019;EXTPOB2018;EXTPOB2017;EXTPOB2016;EXTPOB2015;EXTPOB2014;EXTPOB2013
Vila Guilherme;73,62;72,75;73,96;73,03;72,58;72,13;73,19;70,47;70,58;71,8;70,58;70,72;68,73;69,07;90,94;91,16;94,17;97,97;95,14;98,7;98,74;96,62;94,88;97,19;103,2;104,41;94,78;86,3;87,92;92,45;102;98,63;83,93;85,86;209,95;87,42;74,46;119,14;760;25;732;0;20;21;996;1.604;1.658;651;776;1.555;400;321;2,08;2,09;2,11;2,12;2,14;2,16;2,18;2,2;2,22;2,15;2,16;0,53;0;0,44;1,05;1,15;1.449;1.631;2.325;1.021;929;719;735;548
Vila Jacuí;62,96;63,82;61,91;62,05;60,7;61,82;60,05;59,19;61,34;58,17;58,37;58,92;59,41;57,71;102,57;100,66;99,77;98,1;92,91;91,76;89,79;88,58;89,7;90,84;89,33;87,98;96,05;87,2;86,69;85,43;90,6;91,04;77,35;80,14;77,62;78,7;76,83;96,7;49;15;6;0;2;6;6.651;6.151;6.559;3.869;7.144;14.145;5.725;4.475;4,74;4,81;4,88;4,96;5,03;5,11;3,72;3,78;19,31;19,63;20,14;20,47;0,06;0,55;5,68;20,11;7.061;9.644;8.509;6.356;9.463;9.670;9.476;7.085
Vila Leopoldina;75,94;75,1;76,38;75,3;75,3;73,21;71,43;69,18;69,13;73,4;70,91;70,07;71,63;70,81;64,92;66,84;70,04;71,93;74,99;80,43;82,2;88,78;92,02;103,41;108,6;112,15;82,48;75,58;80,74;79,17;89,58;100,21;354,6;362,68;413,58;383,72;430,6;121,29;444;402;224;0;266;86;342;395;423;337;422;908;194;159;4,44;4,49;4,57;4,65;4,73;4,82;4,9;5,02;5,15;5,27;5,34;5,48;0,17;0,52;1;1,74;398;562;589;506;499;480;416;327
Vila Maria;68,45;66,89;68,85;67,6;66,73;67,42;65,59;65,39;66,54;66,73;65,28;64,41;64,79;63,53;109,78;110,99;111,32;109,52;105,24;107,81;109,64;111,64;110,44;111,87;109,83;109,08;108,5;98,26;99,46;100,68;109,14;104,6;128,79;128,59;118,99;122,67;111,72;114,8;428;282;79;0;54;37;5.251;5.854;5.712;4.027;4.187;7.943;2.029;2.172;13,02;13,1;13,21;13,31;13,41;13,52;13,63;13,73;11,92;11,59;11,07;8,88;0,49;0,28;2,81;6,79;6.661;7.539;7.118;6.321;5.021;3.923;4.003;3.559
Vila Mariana;79,01;78,57;78,56;78,36;77,99;77,24;77,73;76,15;76,43;77,07;76,56;74,94;74,83;74,21;148,64;153,76;160,29;166,83;164,33;173,1;175,26;175,4;172,29;173,35;172;173,42;156,97;149,45;157,92;162,81;178,85;169,73;156,18;160,34;129,46;160,09;156,1;172;275;148;102;0;95;105;689;860;787;747;711;1.352;480;302;0,84;0,84;0,85;0,85;0,86;0,86;0,87;0,88;0,89;0,88;0,83;0,84;0,2;0,08;0,11;0,21;936;1.092;1.093;1.141;859;773;682;488
Vila Matilde;72,05;71,46;72,38;71,27;71,17;70,54;70,5;70,38;69,53;68,53;68,84;67,48;66,9;66,9;145,24;149,75;151,2;151,3;141,18;144,32;145,81;147,82;144,76;144,39;147,21;146,9;134,94;126,46;128,91;130,54;138,04;139,35;102,38;106,9;107,46;102,12;100,87;146,35;66;17;7;0;6;13;1.674;1.773;1.830;1.391;1.838;4.128;1.479;1.224;0,62;0,62;0,63;0,63;0,64;0,64;0,65;0,65;0,66;0,59;0,58;0,59;0,06;0,08;0,37;0,9;2.277;2.703;2.344;2.063;2.222;2.262;2.793;2.164
Vila Medeiros;69,4;68,66;69,89;69,24;68,01;68,7;67,79;67,42;66,87;65,87;66,28;65,57;64,8;64,75;100,65;104;105,11;104,89;103;107,29;108,26;109,31;110,22;109,28;107,4;103,79;92,57;84,77;85,72;86,08;94,08;94;84,81;87,5;78,25;84,85;75,47;94,74;50;20;19;0;8;6;3.560;4.013;4.196;2.934;2.686;5.866;1.582;1.654;2,98;2,98;2,99;3;3;3,01;3,02;3,01;3,02;3,02;2,85;2,85;0,35;0,18;5,1;7,08;4.231;5.343;5.324;4.604;3.219;2.664;3.064;2.861
Vila Prudente;73,25;71,46;73,34;72,01;72,55;71,37;70,77;71,49;72,1;70,34;69,87;69,53;70,51;69,31;110,43;111,91;115,02;112,15;107,56;111,56;113,83;116,3;114,82;111,67;112,97;110,94;106,19;99,28;101,31;98,7;107,67;104;95,65;99,89;171,86;97,22;82,98;116,58;267;230;203;0;160;46;1.916;2.862;3.550;2.050;2.346;4.173;1.243;981;5,24;5,26;5,29;5,33;5,36;5,4;5,43;5,47;5,52;5,56;5,25;5,28;0;0,1;1,95;3,47;2.637;3.116;4.553;3.380;2.782;2.328;1.963;1.599
Vila Sônia;73;69,11;72,03;71,28;71,86;69,5;69,98;70,8;68,62;69,11;69,5;69,65;67,31;66,65;73,45;73,32;78,13;78,87;78,17;80,36;85,76;90,23;89,54;93,3;95,7;95,04;71,71;65,26;71,29;72,13;78,94;83,47;150,16;159,06;46,72;161,33;174,14;103,59;7;9;1;0;5;14;1.982;2.819;3.297;3.735;2.773;6.802;1.702;1.652;22,74;23,04;23,42;23,8;24,19;24,71;25,05;25,57;26,09;26,64;21,14;21,59;1,22;1,39;10,52;7;2.412;3.153;4.505;5.301;3.393;2.915;3.143;2.781
Água Rasa;76,02;73,72;74,77;73,36;74,03;73;73,33;72,53;72,66;72,04;70,98;72,57;71,25;70,17;128,89;101,52;102,9;102,95;100,62;102,21;103,28;102,78;105,11;105,57;108,76;109,24;135,54;99,16;100,87;102,9;112,58;109,15;119,54;119,07;118,44;114,92;121,28;116,61;379;385;7;45;6;18;1.094;1.177;1.280;927;1.052;2.281;650;617;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0,07;0,17;0,46;1,05;1.500;1.688;1.702;1.537;1.257;1.104;1.239;994
