Num;Regiao;Total;Pop_10_a_14_anos;Pop_15_a_19_anos;Pop_20_a_24_anos;Pop_25_a_29_anos;Pop_30_a_34_anos;Pop_35_a_39_anos;Pop_40_a_44_anos;Pop_45_a_49_anos;Pop_50_a_54_anos;Pop_55_a_59_anos;Pop_60_a_64_anos;Pop_65_a_69_anos;Pop_70_a_74_anos;Pop_75_a_79_anos;Pop_80_a_84_anos;Pop_85_a_89_anos;Pop_90_a_94_anos;Pop_95_a_99_anos;Pop_100_anos_ou_mais;cod_rgi
157;Garanhuns;277660;21454;22058;21767;20352;20592;21164;20152;17516;15356;14289;11863;10040;8316;6035;4109;2207;950;294;98;260010
158;Arcoverde;191987;15210;16254;15869;14559;14637;14513;13572;11456;10245;9600;8141;6196;5162;3707;2587;1306;582;227;75;260011
159;Belo Jardim - Pesqueira;127277;9342;9821;10073;9655;9411;9662;9000;7972;7257;7156;5934;4553;3641;2777;1919;1011;423;141;28;260012
160;Serra Talhada;163595;12722;13133;12589;12302;12355;12372;11625;10439;9014;8394;6735;5548;4714;3492;2445;1277;627;207;70;260013
161;Afogados da Ingazeira;94628;6876;7018;6603;6612;7019;7168;6883;6151;5418;5536;4477;3845;3297;2350;1675;911;380;121;36;260014
162;Petrolina;257353;19975;20927;22791;21795;21228;21122;19879;16751;13865;11824;8963;6498;5154;3620;2368;1229;574;187;64;260015
163;Araripina;161809;13549;14115;13356;11859;12115;11753;11302;9587;8646;8076;6251;4996;4231;3304;2425;1249;533;200;55;260016
164;Salgueiro;91961;7411;7499;7263;6712;6862;6895;6700;5881;5129;4740;3821;3085;2465;1837;1367;746;331;150;47;260017
165;Escada - Ribeirão;70075;5002;5441;5330;5238;5314;5576;5436;4894;4453;4011;3201;2412;1733;1272;859;408;177;36;41;260018
166;Maceió;670665;44145;47677;53664;53562;50970;54648;53196;48121;43678;37991;31045;23836;17357;10714;6957;3741;1746;596;203;270001
167;Porto Calvo - São Luís do Quitunde;98582;8326;8559;8790;7862;7208;7383;7149;6449;5361;4542;3636;2847;1951;1259;823;417;178;40;37;270002
168;Penedo;91330;7338;7218;7109;6800;6926;7246;6768;5944;5225;4709;3944;3075;2219;1483;1044;573;256;72;37;270003
169;São Miguel dos Campos;70245;5485;6045;5717;5293;4960;5502;5388;4791;4059;3694;3040;2338;1672;1127;729;393;136;39;25;270004
170;União dos Palmares;72367;6122;5943;5886;5604;5054;5408;5100;4549;4179;3524;3077;2330;1742;1169;768;387;161;51;32;270005
171;Atalaia;53896;4431;4739;4330;3863;3628;3957;3923;3458;3090;2718;2485;1918;1362;897;582;302;127;43;17;270006
172;Arapiraca;282411;21272;22567;23116;22234;21555;22286;21110;18266;15786;14528;11562;9627;7402;5074;3177;1699;684;190;70;270007
173;Palmeira dos Índios;86113;6557;6587;6317;6041;6003;6570;6389;5735;5100;4750;4006;3307;2777;1971;1300;649;280;105;31;270008
174;Delmiro Gouveia;76653;6568;6620;6076;5944;5729;5873;5230;4661;4100;3757;2905;2300;2127;1536;971;497;214;75;30;270009
175;Santana do Ipanema;69807;6085;6144;5871;5368;5144;4953;4507;4236;3781;3520;2674;2226;1719;1334;857;442;190;60;50;270010
176;Pão de Açúcar - Olho d'Água das Flores - Batalha;58195;4875;4941;4922;4582;4256;4250;3896;3521;3055;2906;2254;1826;1318;1138;707;388;170;53;28;270011
177;Aracaju;611829;40897;42676;47470;48503;48305;52049;51321;42623;39197;34527;27681;20941;15508;10259;6870;3862;2016;678;153;280001
178;Estância;118885;9193;9776;9394;9103;8957;9451;8989;7723;7077;6222;4970;3853;2885;2064;1371;763;378;118;43;280002
179;Propriá;75292;5833;5929;5719;5647;5704;5792;5465;4878;4417;4130;3243;2441;1972;1382;973;541;202;76;34;280003
180;Itabaiana;129734;9045;9617;10476;10747;10091;10232;10353;8815;7940;6858;5561;4366;3557;2512;1681;998;496;156;41;250004
181;Lagarto;131070;8677;9784;10684;10395;10086;10094;10028;8888;8124;7610;5681;4542;3691;2777;1974;1014;491;151;39;280005
182;Nossa Senhora da Glória;85386;6887;7267;7015;7047;6661;6685;6139;5452;4654;4153;3084;2431;1945;1388;801;481;167;96;55;280006
183;Salvador;1876396;107937;113240;132395;133821;138767;169941;177018;142181;128341;115469;99205;77105;55627;35750;24502;13970;7143;2457;661;290001
184;Alagoinhas;239344;17020;18234;18418;18210;17101;19550;19287;16128;14433;13030;10436;8211;6512;4919;3367;1881;987;310;242;290002
185;Santo Antônio de Jesus;147147;9887;10363;11089;11124;11116;12588;12516;10297;9012;8076;6782;5176;4215;2856;2180;1388;787;268;118;290003
186;Cruz das Almas;142471;9249;10228;10311;10060;10114;12105;11837;9959;9156;8359;7084;5427;4258;3079;2263;1403;803;286;132;290004
187;Valença;115476;8559;9278;9053;8698;8857;9649;9098;7310;6707;5888;5106;3865;2816;1747;1276;747;329;107;58;290005
188;Nazaré - Maragogipe;85745;5917;6257;6158;5760;5851;7056;7212;6169;5658;5223;4427;3562;2556;1671;1183;627;355;120;43;290006
189;Ilhéus - Itabuna;332690;22068;24100;23869;23163;23899;27407;27106;22225;20534;19309;17761;13490;10310;6753;5118;2882;1417;466;152;290007
190;Teixeira de Freitas;218174;16272;16665;16403;16148;16069;17503;16725;14110;12518;11608;10054;8041;6006;4057;2720;1475;747;251;98;290008
191;Eunápolis - Porto Seguro;199866;15575;15862;16193;15405;15635;17199;16750;13057;10951;9512;7866;6040;4428;2626;1818;948;428;175;58;290009
192;Camacan;62676;4620;4919;4707;4216;4449;5023;4763;3889;3646;3298;3221;2436;1931;1167;825;500;256;90;27;290010
193;Vitória da Conquista;441656;29915;33531;34165;32171;32392;35965;35097;28399;26038;24086;20789;16217;13405;10080;7179;4127;2020;748;256;290011
194;Jequié;176914;11967;13048;12682;12468;12925;14386;14118;11608;10182;9675;8797;7103;5446;3977;2754;1809;985;338;159;290012
195;Brumado;114386;7091;7536;8176;8066;8385;9396;9015;7415;7259;6932;5838;4578;4063;3192;2161;1272;692;238;102;290013
196;Ipiaú;105414;7723;8133;7751;7314;7655;8858;8437;6290;5850;5741;5274;4135;2900;2060;1478;852;458;157;82;290014
197;Itapetinga;71607;5093;5489;5188;4962;5109;5865;5864;4869;4251;3927;3439;2674;2236;1607;1149;629;302;65;42;290015
198;Guanambi;232708;15285;16844;17396;16733;17657;18506;17683;14454;14519;13323;11367;8716;7784;5575;4238;2445;1222;467;159;290016
199;Bom Jesus da Lapa;109179;8252;9047;8532;7985;8002;8462;7990;6093;6077;5722;4790;3715;3001;2468;1677;990;525;135;62;290017
200;Barreiras;259739;20059;20934;21735;21587;21466;22939;20089;15535;13319;11841;9479;6863;5585;3905;2604;1469;698;240;59;290018
201;Santa Maria da Vitoria;68752;5087;5318;5030;4860;5071;5409;5168;4323;3943;3854;3200;2591;2134;1595;1050;567;273;90;49;290019
202;Irecê;199428;14971;16414;15269;14342;13849;15564;15542;12985;11771;10970;8950;6775;5565;4191;2856;1439;702;215;83;290020
203;Xique-Xique - Barra;105879;8382;9235;8136;7757;7493;8172;7493;5958;5406;5349;4521;3433;2988;2327;1572;952;488;146;42;290021
204;Juazeiro;270222;21089;22029;22003;20403;19814;20948;20576;17299;14954;13363;10474;8032;6758;4851;3414;1829;849;311;92;290022
205;Senhor do Bonfim;148494;10631;11591;11601;10546;10580;11584;11641;9730;9109;7836;6351;5131;4394;3303;2262;1218;617;270;85;290023
206;Paulo Afonso;97542;7323;7302;7415;7224;7208;7546;7583;6704;5830;5192;4029;3353;2824;1948;1411;713;366;118;46;290024
