NOME_MUNICIPIO;UF;IDHM2010;IDHMRenda2010;IDHMLongevidade2010;IDHMEducacao2010;GEOCODIGO_MUNICIPIO;COD_UF;LONGITUDE;LATITUDE
Alvorada;TO;0,708;0,677;0,843;0,623;1700707;17;-49,126811;-12,478815
Alvorada de Minas;MG;0,572;0,57;0,794;0,414;3102407;31;-43,366084;-18,733593
Alvorada do Gurguéia;PI;0,578;0,52;0,749;0,496;2200459;22;-43,863072;-8,443959
Alvorada do Norte;GO;0,66;0,64;0,819;0,548;5200803;52;-46,515638;-14,482839
Alvorada do Sul;PR;0,708;0,695;0,826;0,617;4100806;41;-51,229216;-22,780379
Alvorada D'Oeste;RO;0,643;0,654;0,763;0,534;1100346;11;-62,277275;-11,34413
Amajari;RR;0,484;0,437;0,815;0,319;1400027;14;-61,42059;3,652118
Amambai;MS;0,673;0,683;0,818;0,546;5000609;50;-55,243828;-23,100582
Amapá;AP;0,642;0,631;0,79;0,532;1600105;16;-50,793214;2,053921
Amapá do Maranhão;MA;0,52;0,503;0,688;0,406;2100550;21;-46,00918;-1,680921
Amaporã;PR;0,669;0,644;0,785;0,591;4100905;41;-52,786787;-23,09737
Amaraji;PE;0,58;0,575;0,748;0,454;2600906;26;-35,450773;-8,378487
Amaral Ferrador;RS;0,624;0,664;0,802;0,457;4300638;43;-52,25127;-30,875148
Amaralina;GO;0,609;0,569;0,813;0,489;5200829;52;-49,295377;-13,925482
Amarante;PI;0,598;0,574;0,75;0,497;2200509;22;-42,853693;-6,246611
Amarante do Maranhão;MA;0,555;0,541;0,716;0,441;2100600;21;-46,750638;-5,557662
Amargosa;BA;0,625;0,616;0,807;0,492;2901007;29;-39,598123;-13,034451
Amaturá;AM;0,56;0,499;0,773;0,455;1300060;13;-68,209615;-3,366805
Amélia Rodrigues;BA;0,666;0,609;0,81;0,6;2901106;29;-38,755557;-12,400188
América Dourada;BA;0,561;0,506;0,751;0,464;2901155;29;-41,437163;-11,449646
Americana;SP;0,811;0,8;0,876;0,76;3501608;35;-47,330363;-22,740884
Americano do Brasil;GO;0,7;0,669;0,813;0,631;5200852;52;-49,983642;-16,2551
Américo Brasiliense;SP;0,751;0,709;0,852;0,701;3501707;35;-48,106605;-21,730037
Américo de Campos;SP;0,745;0,715;0,817;0,708;3501806;35;-49,727027;-20,296402
Ametista do Sul;RS;0,682;0,697;0,809;0,562;4300646;43;-53,192177;-27,356425
Amontada;CE;0,606;0,503;0,761;0,582;2300754;23;-39,828823;-3,364878
Amorinópolis;GO;0,681;0,672;0,813;0,579;5200902;52;-51,097167;-16,617912
Amparo;PB;0,606;0,537;0,752;0,551;2500734;25;-37,064775;-7,567212
Amparo;SP;0,785;0,78;0,871;0,711;3501905;35;-46,765086;-22,699389
Amparo de São Francisco;SE;0,611;0,569;0,728;0,55;2800100;28;-36,927484;-10,133971
Amparo do Serra;MG;0,641;0,616;0,811;0,528;3102506;31;-42,807202;-20,510067
Ampére;PR;0,709;0,699;0,824;0,62;4101002;41;-53,473257;-25,917068
Anadia;AL;0,568;0,546;0,756;0,444;2700201;27;-36,300814;-9,684084
Anagé;BA;0,54;0,549;0,771;0,371;2901205;29;-41,127113;-14,611326
Anahy;PR;0,695;0,671;0,844;0,593;4101051;41;-53,13332;-24,647582
Anajás;PA;0,484;0,506;0,774;0,29;1500701;15;-49,945001;-0,984451
Anajatuba;MA;0,581;0,523;0,762;0,492;2100709;21;-44,62067;-3,257555
Analândia;SP;0,754;0,745;0,861;0,668;3502002;35;-47,660766;-22,128785
Anamã;AM;0,594;0,537;0,741;0,526;1300086;13;-61,405903;-3,57637
Ananás;TO;0,671;0,621;0,804;0,605;1701002;17;-48,079765;-6,362818
