Distrito;IMM2019;IMM2018;IMM2017;IMM2016;IMM2015;IMM2014;IMM2013;IMM2012;IMM2011;IMM2010;IMM2009;IMM2008;IMM2007;IMM2006;TUEF2021;TUEF2020;TUEF2019;TUEF2018;TUEF2017;TUEF2016;TUEF2015;TUEF2014;TUEF2013;TUEF2012;TUEF2011;TUEF2010;TUEB2021;TUEB2020;TUEB2019;TUEB2018;TUEB2017;TUEB2016;TUEB2015;TUEB2014;TUEB2013;TUEB2012;TUEB2011;TUEB2010;POPRUA2021;POPRUA2019;POPRUA2015;POPRUA2011;POPRUA2009;POPRUA2000;BF2020;BF2019;BF2018;BF2017;BF2016;BF2015;BF2014;BF2013;FV2021;FV2020;FV2019;FV2018;FV2017;FV2016;FV2015;FV2014;FV2013;FV2012;FV2011;FV2010;AGUA2010;AGUA2000;ESGOTO2010;ESGOTO2000;EXTPOB2020;EXTPOB2019;EXTPOB2018;EXTPOB2017;EXTPOB2016;EXTPOB2015;EXTPOB2014;EXTPOB2013;V2007;V2008;V2009;V2010;V2011;V2012;V2013;V2014;V2015;V2016;V2017;V2018;V2019;V2020;V2021;V2022;C2007;C2008;C2009;C2010;C2011;C2012;C2013;C2014;C2015;C2016;C2017;C2018;C2019;C2020;C2021;C2022
Sacoma;68,51;68,24;68,89;67,62;67,61;66,85;65,64;66,23;66,12;66,11;65;64,26;63,39;63,98;86,34;85,82;86,58;86,98;83,35;85,73;87,16;90,14;90,12;88,44;89,66;86,37;82,31;74,27;74,94;75,42;80,77;81,77;33,08;34,33;50,67;33,49;22,74;87,77;50;20;101;0;20;13;6272;7006;7836;6965;7631;17959;5778;4530;23,65;23,93;24,27;24,62;24,97;25,39;25,7;26,14;26,94;27,41;30,01;30,95;0,12;0,67;5,18;9,2;7540;2288;2175;2101;2562;2659;3232;2528;1605;1519;1499;1374;1446;1418;1374;1464;1640;1536;1502;1668;1468;1298;1336;1144;2012;1864;1972;2043;2172;2122;2191;2175;2100;1962;1978;1943;1761;1756;1506;1335
Santa Cecilia;74,4;74,44;73,31;72,32;73,45;72,65;71,74;73,49;72,91;71,22;71,41;71,74;70,33;71,9;62,27;66,02;67,75;72,09;71,66;78,55;84,77;88,56;95,25;97,52;102,99;102,34;62,07;59,1;61,73;66,43;77,38;90,79;220,5;226,79;198,67;233,6;275,65;118,06;5006;5105;1828;2517;1334;485;2971;3297;3430;3625;4562;6256;1010;1517;0;0;0;0;0;0,96;0,97;0,99;1;1,01;1,03;1,04;0,06;0,03;0,05;0,12;4339;4352;4385;4000;3924;3464;3126;2487;430;378;406;411;418;382;338;369;368;299;371;332;359;305;286;263;484;517;568;538;525;502;503;490;446;436;421;442;443;455;394;346
Santana;76,47;75,96;75,31;75,4;75,45;75,07;74,8;73,58;73,68;73,06;72,93;72,68;71,56;71,99;145,77;152,67;163,88;168,88;165,35;170,81;174,12;170,14;166,64;164,69;171,38;172,27;153,93;145,87;154,65;158,42;170,03;156,92;150,88;149,45;163,04;144,52;143,55;169,98;1124;995;298;0;387;354;1526;1250;1183;1435;1700;2399;292;424;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0;0;1,01;1,35;2490;9819;12708;14357;10542;10434;10841;7748;507;605;497;424;375;370;327;332;339;362;354;366;353;315;299;302;1065;1029;949;1009;868;880;940;836;796;780;768;736;719;697;590;560
Santo Amaro;77,6;78,46;76,68;77,58;76,54;76,46;77,13;75,39;75,53;74,03;74,57;73,49;72,97;71,27;185,12;196,69;196,96;194,77;179,5;185,62;189,91;196,68;199,3;197,04;201,04;207,35;200,32;195,37;202,54;198,23;209,44;191,42;195,64;203,47;305,23;206,97;219,11;228,3;553;412;3;0;402;254;1095;1476;1541;822;1174;1552;281;253;0,16;0,16;0,16;0,16;0,16;0,16;0,16;0,17;0,17;0,17;0,17;0,17;0,09;0,25;1,56;1,76;1856;5523;7801;10355;5514;5451;5522;4187;199;227;165;208;200;230;205;217;204;233;237;264;264;245;260;256;528;540;539;580;609;575;680;662;621;577;612;544;541;513;454;431
Sao Domingos;70,9;70,45;69,94;68,26;68,98;68,25;68,4;66,52;65,76;66,52;62,66;64,66;64;64,61;86,03;86,23;83,93;83,52;82,62;85,02;87,52;93,29;92,72;92,76;93,99;92,94;79,33;71,07;69,89;69,93;76,73;90,41;206,81;214,68;173,17;216,76;229,79;100,73;32;25;19;0;4;10;1394;1543;1707;1520;2097;4607;1669;1305;12,11;12,21;12,32;12,44;12,56;13,02;12,8;12,94;13,06;13,2;13,3;13,45;0,39;0,6;12,21;20,79;1756;12358;10649;9542;13533;13728;12332;9442;466;437;448;389;422;426;377;455;473;465;457;451;442;398;417;355;770;740;721;731;721;774;766;739;728;640;627;617;606;517;459;441
Sao Lucas;71,48;71,89;71,08;70,92;69,68;69,11;68,96;68,62;69,12;68,9;68,04;66,45;64,96;67,51;88,9;90,54;89,47;89,51;85,95;87,9;89,27;91,34;91,15;92,35;92,84;92,58;83,49;77,79;77,69;78,52;83,72;78,53;115,09;119,61;140,87;119,47;144,59;89,11;36;16;14;0;14;10;2807;3072;3334;2514;3306;6056;1981;1703;4,34;4,36;4,39;4,42;4,46;4,49;4,52;4,56;4,6;4,64;4,55;4,68;0;0,16;3,68;5,02;3659;9719;10279;10633;9940;9152;9173;7253;853;724;672;644;656;679;594;620;617;704;677;709;601;554;497;432;1003;983;1049;1022;1092;1069;1133;1131;1138;937;1089;971;923;913;835;773
Sao Mateus;67,17;65,55;66,61;65,33;64,64;63,05;62,9;61,36;63,29;62,74;61,33;61,43;60,48;60,25;111,72;115,44;116,89;125,61;120,81;123,95;124,98;125,84;121,64;121,07;117,91;115,54;106,17;97,86;100,31;107,01;110,92;107,61;108,47;109,82;130,66;105,77;105,41;117,09;267;213;158;0;156;21;6382;9184;10169;9249;8365;17633;6727;4855;6,11;6,17;6,23;6,28;6,34;6,4;8,32;8,45;8,54;8,62;10,84;10,94;0,16;0,33;5,1;12,07;8066;2616;1616;2226;2048;1545;610;673;1171;1147;1190;1243;1177;1193;1125;1127;1169;1045;1149;1121;1017;966;989;848;1217;1238;1249;1192;1259;1220;1248;1264;1189;1252;1222;1205;1210;1079;1015;907
Sao Miguel;66,73;68,1;65,88;66,44;66,18;65,64;64,8;64,9;64,4;63,26;63,25;63,51;61,57;61,09;170,2;181,33;191,54;196,3;192,23;201,77;208,26;207,78;198,23;200,79;192,64;190,97;166,45;156,31;165,17;169,9;190,1;145,21;225,42;231,9;118,21;228,51;250,63;155,1;332;161;138;0;108;22;3835;5721;6210;6371;4304;8376;3117;2544;2,9;2,91;2,92;2,93;2,94;2,95;2,96;2,86;2,57;2,57;2,57;2,57;0,43;0,4;9,39;12,34;4319;19322;17870;18621;18421;17775;18582;15901;936;887;866;806;879;874;855;862;912;850;876;669;646;609;553;483;879;779;858;788;787;734;788;787;691;674;689;599;560;515;465;422
Sao Rafael;60,23;59,82;61,67;60,27;58,76;57,31;58,18;57,83;55,61;56,98;55,5;56,98;54,37;54,53;99,97;100,34;96,85;95,52;90,67;96,41;97,04;100,1;101,71;102,87;103,46;98,7;94,46;86,39;83,89;83,56;93,84;90,7;52,56;53,2;31,31;53,09;44,22;98,47;20;197;3;0;0;3;8370;7751;8326;6115;10519;21925;7593;5840;9,33;9,51;9,72;9,93;10,15;9,52;8,69;44;23,69;24,28;14,06;14,42;7,65;4,93;20,87;26,63;9645;1161;1004;854;888;852;901;650;1163;1229;1188;1209;1279;1188;1200;1100;1242;1216;1251;1271;1221;1127;1114;968;1002;1017;1005;1014;958;1018;1060;1040;988;1006;913;984;973;893;884;718
Sapopemba;64,95;64,68;64,06;64,14;63,55;62,3;62,62;62,1;61,03;60,71;60,05;59,54;59,27;58,4;78,67;77,78;77,94;78,96;75,23;77,75;78,6;80,86;80,91;81,25;81,61;81,19;74,56;66,54;67,21;69,04;74,14;71,47;16,43;16,39;24,19;16;5,76;81,61;44;17;32;0;20;11;13267;13073;13890;12342;15032;31533;12226;10695;19,01;19,21;19,42;19,63;19,85;20,06;20,26;20,51;20,77;20,85;20,06;20,7;0,36;0,47;7,38;10,31;15644;2540;2204;2083;1877;1366;2638;1935;2269;2209;2296;2285;2309;2212;2133;2063;2229;2080;2204;2033;2004;1695;1669;1387;2149;2251;2139;2115;2237;2274;2189;2238;2166;1967;1923;1861;1786;1754;1578;1385
Saude;78,42;77,7;77,79;77,1;77,57;77,27;75,98;74,83;75,48;75,88;74,73;74,06;73,18;73,44;81,86;85,46;88,59;89,68;88,36;93,51;93,65;96,23;97,72;95,39;100,46;102,34;81,84;79,85;83,12;84,07;90,97;90,95;63,1;65,24;122,97;68,48;66,81;112,9;340;309;25;0;45;51;724;771;731;612;743;1804;581;375;0,93;0,93;0,94;0,95;0,95;0,96;0,97;0,98;0,99;0,98;0,99;1;0,16;0,05;0,64;0,7;1009;926;1298;1714;831;762;635;549;381;398;357;341;326;346;284;277;347;381;341;388;393;403;369;324;934;935;1026;1001;1030;970;915;970;881;790;868;784;766;679;608;535
Se;66,16;64,69;64,92;62,08;60,29;63,52;62,05;65,84;62,2;63,97;68,01;63,35;62,57;62,27;30,86;33,24;36,81;45,32;56,51;66,79;68,66;70,53;81,02;86,9;82,39;69,13;31,35;26,27;27;32,08;53,72;55,51;631,08;610,84;733,67;603,7;628,11;78,99;2149;1539;1448;1239;1334;820;1494;1488;1411;1087;1536;2301;660;1001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,22;2260;4714;4953;6088;5567;4620;1564;2138;247;297;317;281;291;283;256;275;273;283;245;221;200;142;133;125;239;229;215;231;186;246;242;222;243;207;210;193;188;150;130;115
Socorro;71,85;74,7;74,46;70,83;72,3;73,04;73,35;70,61;71,14;69,19;68,74;68,19;66,82;69,32;160,84;174,69;184,8;206,69;201,12;202,36;199,63;198,86;193,79;203,01;206,07;208,21;157,82;149,72;156,5;172,73;172,45;169,68;459,18;471,41;365,6;454,78;488,62;191,91;17;12;10;0;14;6;522;925;1037;1262;646;1836;431;356;6,16;6,16;6,17;6,17;6,17;6,17;6,17;6,18;6,18;6,18;6,12;6,12;0,17;0,25;0,27;1,51;752;1897;2083;1269;1436;1042;442;405;163;129;135;144;140;151;138;129;126;142;151;148;132;137;113;109;284;304;295;305;302;284;247;276;257;225;236;221;175;202;180;150
Tatuape;76,94;76,26;76,66;74,7;75,27;75,04;75,16;73,97;74,04;72,86;73,4;73,92;73,46;72,45;188,49;192,56;199,39;196,77;188,96;191,39;188,33;185,43;181,05;176,53;174,63;170;212,99;203,15;204,71;204,73;216,46;200,38;190,57;194,56;198,6;189,5;195,26;202,93;339;237;369;92;665;328;883;1452;1752;1644;1346;1898;481;519;0,97;0,98;0,99;1;1,01;1,18;1,19;1,2;1,02;1,04;1,05;1,06;0,15;0,4;1,3;1,19;1211;1396;2336;2666;1579;1289;823;819;197;222;228;220;206;222;201;221;219;235;248;226;242;218;190;221;742;719;739;807;706;736;690;679;677;647;626;650;664;549;525;462
Tremembe;65,88;66,31;65,55;64,3;65,04;63,7;65,3;63,99;63,74;63,42;60,62;62,64;62,5;61;66,13;68,19;68,93;70,35;67,48;68,9;69,97;73,1;72,86;72,05;72,61;70,72;59,07;53,84;54,41;55,45;60,48;63,13;50,42;52,22;71,18;50,7;49,51;73,08;61;29;6;0;2;0;7354;7254;8448;6235;7552;12945;3210;3415;10,68;10,85;11,06;11,28;11,5;11,67;12,22;12,49;12,77;13,05;12,44;12,72;2,03;3,48;15,78;23,43;8498;11455;11187;10044;9002;7607;6870;6368;1626;1680;1664;1619;1632;1602;1533;1580;1633;1614;1662;1657;1621;1620;1471;1314;1455;1467;1516;1604;1660;1667;1720;1753;1676;1666;1610;1574;1567;1301;1355;1209
Tucuruvi;75,16;74,37;73,95;74,62;73,56;74,27;72,93;72,04;72,22;73,03;72,04;69,85;70,48;70,6;162,61;166,36;164,77;161,58;156,79;164,73;162,46;163,63;166,66;165,37;168,91;165,11;165,89;154,16;153,84;153,83;171,25;164,59;217,96;223,2;131,47;231,93;246,46;166,39;66;19;10;0;12;8;865;940;925;668;673;1789;379;424;0,71;0,71;0,71;0,71;0,71;0,72;0,72;0,72;0,73;0,73;0,74;0,74;0;0,08;4,77;4,06;1201;1473;1274;1011;840;741;928;862;397;418;366;367;360;330;286;287;343;304;350;321;315;306;267;279;728;753;697;804;787;725;705;742;703;636;667;632;604;547;529;484
Vila Andrade;66,73;63,85;64,45;64,16;62,44;61,57;59,82;58,9;58,09;59,09;58,86;58,99;57,48;55,9;82,36;80,58;77,25;73,68;72,01;72,43;70,78;75,27;76,9;78,47;79,24;78,57;80,43;70,65;67,14;65,06;69,05;65,54;53,16;51,32;39,26;57,02;60,41;73,2;114;7;2;0;5;0;3702;4340;4786;4117;5053;11287;2687;3070;32,69;33,56;34,66;35,8;36,99;39,22;39,44;41,61;43,47;45,42;47,36;49,47;0,44;0,38;6,84;25,43;4162;5781;6243;6206;6743;5563;6725;6535;922;961;936;999;1057;1086;1076;1134;1155;1093;1121;1226;1057;1035;976;903;1011;1050;1134;1128;1153;1252;1279;1339;1269;1258;1252;1332;1341;1145;1125;989
Vila Curuca;65,34;63,89;62,8;63,71;61,81;61,77;60,88;59,97;62,12;60,4;59,48;58,45;58,71;57,29;110,83;111,95;110,92;109,87;103,65;105,18;104,1;106,4;107,87;107,17;107,36;104,8;101,5;92,76;91,25;90,71;97,41;94,8;39,51;38,33;80,8;36,47;27,89;104,57;37;9;34;0;46;0;6825;7594;7933;6983;7703;17142;6565;5153;6,65;6,5;6,59;6,93;6,78;7,69;6,81;7,12;7,22;7,32;10,04;10,18;0,44;0,66;5,89;12,82;8006;10272;10441;11275;10351;9929;11334;8568;1181;1213;1219;1234;1292;1215;1268;1314;1374;1261;1301;1301;1188;1058;988;852;1051;1073;1073;1141;1083;1142;1128;1119;1175;1077;1084;988;984;909;883;745
Vila Formosa;73,65;73,06;73,56;72,5;72,33;70,1;72,25;69,88;70,65;71,75;68,98;68,68;69,9;68,51;104,65;109,01;114,51;114,5;110,34;112,65;111,99;109,9;107,57;107,56;109,36;104,21;108,62;101,47;105,5;104,37;112,76;107;188,43;188,11;85,87;188,21;182,71;104,24;39;16;17;0;11;6;1827;2158;2224;1862;1617;3388;1041;898;0,9;0,9;0,91;0,91;0,92;0,92;0,93;0,93;0,94;0,95;0,96;0,97;0,07;0,18;0,47;2,57;2284;2673;2838;2847;1949;1662;1913;1555;372;387;429;342;383;349;317;327;337;338;330;349;319;299;289;267;638;695;684;642;627;661;627;659;643;585;616;590;570;544;494;414
Vila Guilherme;73,62;72,75;73,96;73,03;72,58;72,13;73,19;70,47;70,58;71,8;70,58;70,72;68,73;69,07;90,94;91,16;94,17;97,97;95,14;98,7;98,74;96,62;94,88;97,19;103,2;104,41;94,78;86,3;87,92;92,45;102;98,63;83,93;85,86;209,95;87,42;74,46;119,14;760;25;732;0;20;21;996;1604;1658;651;776;1555;400;321;2,08;2,09;2,11;2,12;2,14;2,16;2,18;2,2;2,22;2,15;2,16;0,53;0;0,44;1,05;1,15;1449;1631;2325;1021;929;719;735;548;311;383;370;350;376;378;387;379;388;302;371;379;371;317;319;288;413;452;472;448;499;518;472;438;464;435;444;443;401;336;335;295
Vila Jacui;62,96;63,82;61,91;62,05;60,7;61,82;60,05;59,19;61,34;58,17;58,37;58,92;59,41;57,71;102,57;100,66;99,77;98,1;92,91;91,76;89,79;88,58;89,7;90,84;89,33;87,98;96,05;87,2;86,69;85,43;90,6;91,04;77,35;80,14;77,62;78,7;76,83;96,7;49;15;6;0;2;6;6651;6151;6559;3869;7144;14145;5725;4475;4,74;4,81;4,88;4,96;5,03;5,11;3,72;3,78;19,31;19,63;20,14;20,47;0,06;0,55;5,68;20,11;7061;9644;8509;6356;9463;9670;9476;7085;951;975;1062;973;966;954;986;1027;1048;927;1056;1188;1131;1027;910;800;960;939;967;971;988;983;930;942;900;881;854;932;832;793;786;622
Vila Leopoldina;75,94;75,1;76,38;75,3;75,3;73,21;71,43;69,18;69,13;73,4;70,91;70,07;71,63;70,81;64,92;66,84;70,04;71,93;74,99;80,43;82,2;88,78;92,02;103,41;108,6;112,15;82,48;75,58;80,74;79,17;89,58;100,21;354,6;362,68;413,58;383,72;430,6;121,29;444;402;224;0;266;86;342;395;423;337;422;908;194;159;4,44;4,49;4,57;4,65;4,73;4,82;4,9;5,02;5,15;5,27;5,34;5,48;0,17;0,52;1;1,74;398;562;589;506;499;480;416;327;145;128;103;118;133;143;131;165;192;176;160;174;183;158;147;152;381;370;404;393;455;469;466;511;468;395;414;382;319;253;258;224
Vila Maria;68,45;66,89;68,85;67,6;66,73;67,42;65,59;65,39;66,54;66,73;65,28;64,41;64,79;63,53;109,78;110,99;111,32;109,52;105,24;107,81;109,64;111,64;110,44;111,87;109,83;109,08;108,5;98,26;99,46;100,68;109,14;104,6;128,79;128,59;118,99;122,67;111,72;114,8;428;282;79;0;54;37;5251;5854;5712;4027;4187;7943;2029;2172;13,02;13,1;13,21;13,31;13,41;13,52;13,63;13,73;11,92;11,59;11,07;8,88;0,49;0,28;2,81;6,79;6661;7539;7118;6321;5021;3923;4003;3559;1007;1011;1038;1082;1040;1033;962;984;1104;1056;1131;1091;1055;1050;928;817;838;910;918;908;935;919;935;946;868;845;885;775;843;815;791;663
Vila Mariana;79,01;78,57;78,56;78,36;77,99;77,24;77,73;76,15;76,43;77,07;76,56;74,94;74,83;74,21;148,64;153,76;160,29;166,83;164,33;173,1;175,26;175,4;172,29;173,35;172;173,42;156,97;149,45;157,92;162,81;178,85;169,73;156,18;160,34;129,46;160,09;156,1;172;275;148;102;0;95;105;689;860;787;747;711;1352;480;302;0,84;0,84;0,85;0,85;0,86;0,86;0,87;0,88;0,89;0,88;0,83;0,84;0,2;0,08;0,11;0,21;936;1092;1093;1141;859;773;682;488;308;304;314;291;306;359;313;344;365;346;391;388;401;381;375;305;830;906;934;983;927;938;966;933;854;795;833;776;753;633;582;535
Vila Matilde;72,05;71,46;72,38;71,27;71,17;70,54;70,5;70,38;69,53;68,53;68,84;67,48;66,9;66,9;145,24;149,75;151,2;151,3;141,18;144,32;145,81;147,82;144,76;144,39;147,21;146,9;134,94;126,46;128,91;130,54;138,04;139,35;102,38;106,9;107,46;102,12;100,87;146,35;66;17;7;0;6;13;1674;1773;1830;1391;1838;4128;1479;1224;0,62;0,62;0,63;0,63;0,64;0,64;0,65;0,65;0,66;0,59;0,58;0,59;0,06;0,08;0,37;0,9;2277;2703;2344;2063;2222;2262;2793;2164;501;539;486;497;516;465;474;494;577;500;522;534;493;381;395;325;813;784;854;835;800;842;815;823;780;765;742;691;690;628;555;550
Vila Medeiros;69,4;68,66;69,89;69,24;68,01;68,7;67,79;67,42;66,87;65,87;66,28;65,57;64,8;64,75;100,65;104;105,11;104,89;103;107,29;108,26;109,31;110,22;109,28;107,4;103,79;92,57;84,77;85,72;86,08;94,08;94;84,81;87,5;78,25;84,85;75,47;94,74;50;20;19;0;8;6;3560;4013;4196;2934;2686;5866;1582;1654;2,98;2,98;2,99;3;3;3,01;3,02;3,01;3,02;3,02;2,85;2,85;0,35;0,18;5,1;7,08;4231;5343;5324;4604;3219;2664;3064;2861;937;955;1010;940;913;918;876;815;950;914;894;934;899;790;737;667;1009;959;928;995;958;991;979;959;967;887;827;846;882;827;734;594
Vila Prudente;73,25;71,46;73,34;72,01;72,55;71,37;70,77;71,49;72,1;70,34;69,87;69,53;70,51;69,31;110,43;111,91;115,02;112,15;107,56;111,56;113,83;116,3;114,82;111,67;112,97;110,94;106,19;99,28;101,31;98,7;107,67;104;95,65;99,89;171,86;97,22;82,98;116,58;267;230;203;0;160;46;1916;2862;3550;2050;2346;4173;1243;981;5,24;5,26;5,29;5,33;5,36;5,4;5,43;5,47;5,52;5,56;5,25;5,28;0;0,1;1,95;3,47;2637;3116;4553;3380;2782;2328;1963;1599;524;517;512;480;428;453;396;416;444;461;472;451;448;427;406;338;691;757;852;843;853;843;842;870;811;755;788;726;758;695;667;574
Vila Sonia;73;69,11;72,03;71,28;71,86;69,5;69,98;70,8;68,62;69,11;69,5;69,65;67,31;66,65;73,45;73,32;78,13;78,87;78,17;80,36;85,76;90,23;89,54;93,3;95,7;95,04;71,71;65,26;71,29;72,13;78,94;83,47;150,16;159,06;46,72;161,33;174,14;103,59;7;9;1;0;5;14;1982;2819;3297;3735;2773;6802;1702;1652;22,74;23,04;23,42;23,8;24,19;24,71;25,05;25,57;26,09;26,64;21,14;21,59;1,22;1,39;10,52;7;2412;3153;4505;5301;3393;2915;3143;2781;569;574;612;622;585;608;605;616;667;632;569;539;623;576;529;458;848;932;919;953;955;967;1015;960;984;840;889;803;830;725;656;614
